,Crime Type,Year,Latitude (D.C.),Longitude (D.C.)
44,theft f/auto,2018,38.9060678544013,-76.93323455013129
45,theft f/auto,2018,38.9298312243713,-77.01970992417009
46,theft/other,2018,38.9002064370622,-77.040579357559
47,theft f/auto,2018,38.918247953051704,-76.99258547530141
48,theft/other,2018,38.882834870267104,-76.9815017015748
49,theft/other,2018,38.8531300750886,-76.96404413367449
50,theft f/auto,2018,38.8856443375435,-76.93057965824859
51,motor vehicle theft,2018,38.8867995316611,-76.98928076422729
52,theft/other,2018,38.9477182591091,-77.03452697840059
53,theft/other,2018,38.912590827178704,-77.00546532806
54,theft f/auto,2018,38.918735671064894,-77.04317289474758
55,theft f/auto,2018,38.9177595861975,-77.02242791899421
56,theft f/auto,2018,38.920471175861394,-77.02199057468529
57,theft/other,2018,38.911635081957705,-76.9333561694838
58,theft f/auto,2018,38.8737914233454,-77.01064813805542
59,theft/other,2018,38.912599481817395,-77.0106078110414
60,theft f/auto,2018,38.9126017210886,-77.041162921527
61,motor vehicle theft,2018,38.8890721400537,-76.9388407732903
62,theft f/auto,2018,38.923747590792296,-76.9669145997375
63,theft f/auto,2018,38.92704480589921,-77.03247570412421
64,theft/other,2018,38.8868088654602,-76.9937644007496
65,theft f/auto,2018,38.9169996416477,-77.0355152984413
66,theft/other,2018,38.896720012270606,-76.9588808254282
67,theft/other,2018,38.902467260731,-76.9494762906844
68,assault w/dangerous weapon,2018,38.9719073941661,-77.0270724307732
69,theft f/auto,2018,38.962001238073,-77.0653063390276
70,motor vehicle theft,2018,38.914815526179,-77.0106773241736
71,assault w/dangerous weapon,2018,38.9223559514987,-77.0027791654538
72,theft f/auto,2018,38.8802766323204,-77.0175641096883
73,theft f/auto,2018,38.894217837724106,-76.9426173035331
74,theft f/auto,2018,38.921351167286794,-77.05700092187459
75,theft f/auto,2018,38.9142116212605,-76.986036576557
76,motor vehicle theft,2018,38.872627789760706,-76.9781970250631
77,theft f/auto,2018,38.9001954371661,-76.9973139237093
78,theft/other,2018,38.899572452867105,-76.918450041792
79,theft/other,2018,38.903237611248706,-77.02502884292979
80,burglary,2018,38.9358185728836,-77.0336215650071
81,theft/other,2018,38.903237611248706,-77.02502884292979
82,burglary,2018,38.945020662530204,-77.00702510314079
83,theft f/auto,2018,38.9223694668182,-76.96744570237259
84,theft/other,2018,38.8943431043315,-76.94091116517771
85,assault w/dangerous weapon,2018,38.920471175861394,-77.02199057468529
86,theft/other,2018,38.9325662866708,-77.0346119088991
87,theft/other,2018,38.8996082789733,-76.9803906515132
88,theft/other,2018,38.967601316705206,-77.07056177553851
89,theft f/auto,2018,38.9295242796408,-77.02330812486791
90,theft/other,2018,38.9051883564576,-77.0606772965942
91,assault w/dangerous weapon,2018,38.9037265037285,-77.00748218802781
92,assault w/dangerous weapon,2018,38.8505290677736,-76.973065763701
93,theft f/auto,2018,38.8732609159562,-76.9360424982945
94,theft/other,2018,38.9049039473617,-77.0259863334558
95,theft f/auto,2018,38.9018060921781,-77.0209126714699
96,assault w/dangerous weapon,2018,38.900194976088,-76.9892787513323
97,theft/other,2018,38.98327589007079,-77.0265689170181
98,theft/other,2018,38.8764763279129,-76.9955861576693
99,theft/other,2018,38.8630410496471,-76.970099830476
100,theft/other,2018,38.8832235876387,-76.994974889719
101,theft/other,2018,38.9216186302989,-77.0423674218744
102,assault w/dangerous weapon,2018,38.900195200369396,-76.9920916380629
103,theft/other,2018,38.9002039928735,-77.0106290242159
104,theft/other,2018,38.9466557998784,-77.032726888608
105,theft/other,2018,38.9056951632188,-77.0320970520639
106,theft f/auto,2018,38.896130540943105,-77.02244417422541
107,theft/other,2018,38.941614919232705,-77.0138649763694
108,theft/other,2018,38.9099064146126,-76.99641423406209
109,theft f/auto,2018,38.8966524620029,-76.9476529299575
110,theft f/auto,2018,38.9462708236867,-77.06875263201329
111,theft/other,2018,38.8989071507506,-76.99466252848329
