10,ابراهيم عبدالكريم ادم عبدو,216,2,شحات,http://results.hnec.ly/cor/ballot/2/4
11,عبدالله حسين المرتضي بوبكر,206,2,شحات,http://results.hnec.ly/cor/ballot/2/4
12,فوزي عبدالسلام محمد حسن,178,2,شحات,http://results.hnec.ly/cor/ballot/2/4
13,سليمان طاهر عبداللطيف محمد عرعاز,166,2,شحات,http://results.hnec.ly/cor/ballot/2/4
14,عبدالناصر حسين عبدالرازق المجدوب,164,2,شحات,http://results.hnec.ly/cor/ballot/2/4
15,صقر محمد موسى الفيتوري,142,2,شحات,http://results.hnec.ly/cor/ballot/2/4
16,عبدالسلام جبريل محمد عبدالجليل,105,2,شحات,http://results.hnec.ly/cor/ballot/2/4
17,مفتاح بوبكر ارحومة حسين,60,2,شحات,http://results.hnec.ly/cor/ballot/2/4
18,الفيتوري عمر الفيتوري عبدالرحمن,55,2,شحات,http://results.hnec.ly/cor/ballot/2/4
19,منصف خليفة محمد امبهدل الميار,52,2,شحات,http://results.hnec.ly/cor/ballot/2/4
20,محمد عثمان عطش المبروك,40,2,شحات,http://results.hnec.ly/cor/ballot/2/4
21,فكري سليم احمد حسن الخرش,29,2,شحات,http://results.hnec.ly/cor/ballot/2/4
22,نافع حمد محمد جمعة,26,2,شحات,http://results.hnec.ly/cor/ballot/2/4
1,ادريس عمران عبدالهادي ادم,1412,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
2,ادم صالح ادم بوصخرة,1227,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
3,عبدالمطلب ادريس ثابت حمد,968,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
4,موسى صالح ابراهيم الفرجاني,957,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
5,عيسى عبدالله يونس محمد الصغير,806,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
6,اشرف السعداوي بالحمد السعداوي,784,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
7,عبدالمولى محمد عبدالدائم صالح بوزهرة,757,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
8,سالم صالح عبدالرازق محمد الكواش,583,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
9,صلاح الماوي حمد حسين,507,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
10,عطية مفتاح حمد خنيفر,452,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
11,عبدالحفيظ محمد عوض ابراهيم,445,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
12,صالح محمد حسين بوعصرانة,435,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
13,علاء الدين رافع عبدالواحد حسين بوصفيطة,376,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
14,مختار محمد يوسف المختار ليسير,364,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
15,عبدالسلام التواتي حسن السنوسي,360,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
16,عبدالمولى مسعود يوسف جودة,344,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
17,احمد فضيل سعد محمد بالتبن,298,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
18,محسن محمد سليمان عمر العلواني,280,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
19,ازقيبة مفتاح ازقيبة بوقفة,260,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
20,محمد عبدالله الطيف عبدالله بوعرقوب,246,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
21,عبدالله ادريس حمد محمد الخطابية,232,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
22,يوسف عمر قويطين طاهر,230,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
23,حمد عبدالسميع القاسي بالقاسم الخزعلي,207,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
24,محمد عطايا محمد المبروك,186,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
25,مجدي فرج محمد عقيلة بونعيجة,178,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
26,موسى علي محمد مجحود القرم,177,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
27,فيصل علي سعيد الغويل,176,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
28,سليمان مصطفى ابراهيم المصري,165,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
29,عادل سعيد حمد سعيد بوعجاج,152,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
30,عبدالرحمن علي محمد عبدالرحمن,143,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
31,مصطفى عطية سعد عبدالحفيظ الزايدي,141,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
32,محمد عبدالمجيد المبروك عبدالمجيد,126,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
33,عبدالباسط علي عيسى سعد الخرم,119,2,البيضاء,http://results.hnec.ly/cor/ballot/2/5
